font_id,name_en,name_zh
1434614692162,AR ShuiGuanGB BD,文鼎水管体_B
1434614837787,AR ShuLinHeiGB LT,文鼎书林黑体_L
1434614867751,AR ShuLinHeiGB MD,文鼎书林黑体_M
1434614906536,AR ShuSongGB MD,文鼎书宋
1434614939278,AR ShuLinSongGB UL,文鼎书林宋体_U
1434614994316,AR StoneGB EB,文鼎石头体_E
1434615021801,AR TanHuangGB BD,文鼎弹簧体_B
1434615075425,AR TianNiuGB BD,文鼎粗甜妞体
1434615110836,AR TianNiuGB HV,文鼎特甜妞体
1434615157732,AR WeiBeiGB EB,文鼎大魏碑体
1434615198539,AR WeiBeiGB MD,文鼎中魏碑体
1434615228720,AR XiangChangGB BD,文鼎香肠体_B
1434615273439,AR XiaoSaGB MD,文鼎潇洒体_M
1434615322081,AR XingKaiBeiGB BD,文鼎行楷碑体_B
1434615379209,AR XingKaiGB BD,文鼎粗行楷体
1434615430939,AR XingShuGB MD,文鼎中行书
1434615476910,AR XiZiGB UL,文鼎习字体_U
1434615525981,AR YanKaiGB HV,文鼎特颜楷
1434615568936,AR YanShuiGB EB,文鼎淹水体_E
1434615623671,AR YuanGB HV,文鼎特圆
1434615651364,AR YuanGB MD,文鼎中圆
1434615684948,AR YuanGB UL,文鼎特粗圆
1434615732466,AR YuanLiGB BD,文鼎圆立体_B
1434615773067,AR ZhuZiGB MD,文鼎竹子体_M
1434615802214,AR ShangHaiSongG30 LT,文鼎上海宋G30_L
1434616586986,AR GangBiXingKaiG30 BD,文鼎粗钢笔行楷G30
1434617244605,AR CrystalHeiG30 BD,文鼎晶栩粗黑G30
1434617285477,AR CrystalHeiG30 DB,文鼎晶栩中粗黑G30
1434617320818,AR CrystalHeiG30 MD,文鼎晶栩中黑G30
1434617351262,AR KaiG30 MD,文鼎中楷体G30
1434617385214,AR QianZiBiG30 EB,文鼎大签字笔体G30
1434617456442,AR WeiBeiG30 BD,文鼎粗魏碑体G30
1434617511335,AR UDJingXiHeiB5HK MD,文鼎UD晶熙黑體HK_M
1434617623498,AR UDJingXiHeiB5HK DB,文鼎UD晶熙黑體HK_D
1434617692168,AR UDJingXiHeiB5HK BD,文鼎UD晶熙黑體HK_B
1434617734885,AR UDJingXiHeiB5HK EB,文鼎UD晶熙黑體HK_E
1434617775452,AR UDJingXiHeiB5HK HV,文鼎UD晶熙黑體HK_H
1434617823073,AR UDJingXiHeiE1B5HK MD,文鼎UD晶熙黑體E1HK_M
1434617888934,AR UDJingXiHeiE1B5HK DB,文鼎UD晶熙黑體E1HK_D
1434617936813,AR UDJingXiHeiE1B5HK BD,文鼎UD晶熙黑體E1HK_B
1434617996306,AR UDJingXiHeiE1B5HK EB,文鼎UD晶熙黑體E1HK_E
1434618041592,AR UDJingXiHeiE1B5HK HV,文鼎UD晶熙黑體E1HK_H
1436923366415,AR DCLaoWaiSongG30,文鼎DC老外宋G30
1437991429152,AR UDShuYuanHeiB5 MD,文鼎UD書苑黑體_M
1437991950152,AR UDShuYuanHeiB5 BD,文鼎UD書苑黑體_B
1442385645071,AR UDJingXiHeiAktivGB LT,文鼎UD晶熙黑体Aktiv_L
1442386843529,AR UDJingXiHeiAktivGB DB,文鼎UD晶熙黑体Aktiv_D
1442387069581,AR UDJingXiHeiAktivGB EB,文鼎UD晶熙黑体Aktiv_E
1442387150699,AR UDJingXiHeiAktivGB HV,文鼎UD晶熙黑体Aktiv_H
1442387283879,AR UDJingXiHeiAktivG30 LT,文鼎UD晶熙黑体AktivG30_L
