Display Name,Family,Subfamily,Pref. Family,Pref. Subfamily,Version,Vendor ID,Styles,Width,Weight,Blocks,Characters,Glyphs
AR HitoTuB5 UL (Regular),AR HitoTuB5 UL,Regular,AR HitoTuB5,Black,Version 1.00,ARPH,Regular,5 (Medium),900 (Black),31,14266,14148
AR HuaBanB5 UL (Regular),AR HuaBanB5 UL,Regular,AR HuaBanB5,Black,Version 1.00,ARPH,Regular,5 (Medium),900 (Black),31,14266,14148
AR HuaCaoB5 EB (Regular),AR HuaCaoB5 EB,Regular,AR HuaCaoB5,Extra-bold,Version 1.00,ARPH,Regular,5 (Medium),800 (Extra-bold),31,14266,14148
AR HuoChaiB5 BD (Regular),AR HuoChaiB5 BD,Regular,AR HuoChaiB5,Bold,Version 1.00,ARPH,Regular,5 (Medium),700 (Bold),31,14266,14148
AR HuZiB5 EB (Regular),AR HuZiB5 EB,Regular,AR HuZiB5,Extra-bold,Version 1.00,ARPH,Regular,5 (Medium),800 (Extra-bold),31,14266,14148
AR JianGouB5 BD (Regular),AR JianGouB5 BD,Regular,AR JianGouB5,Bold,Version 1.00,ARPH,Regular,5 (Medium),700 (Bold),31,14266,14148
AR JingJiB5 MD (Regular),AR JingJiB5 MD,Regular,AR JingJiB5,Medium,Version 1.00,ARPH,Regular,5 (Medium),500 (Medium),31,14266,14148
AR JULIAN (Regular),AR JULIAN,Regular,,,Version 2.00,ARPH,Regular,5 (Medium),5,8,217,220
AR KaiB5 BD (Regular),AR KaiB5 BD,Regular,AR KaiB5,Bold,Version 1.00,ARPH,Regular,5 (Medium),700 (Bold),31,14266,14148
AR KaiB5 LT (Regular),AR KaiB5 LT,Regular,AR KaiB5,Light,Version 1.00,ARPH,Regular,5 (Medium),300 (Light),31,14266,14148
AR KaiB5 MD (Regular),AR KaiB5 MD,Regular,AR KaiB5,Medium,Version 1.00,ARPH,Regular,5 (Medium),500 (Medium),31,14266,14148
AR KaiB5S MD (Regular),AR KaiB5S MD,Regular,AR KaiB5S,Medium,Version 1.00,ARPH,Regular,5 (Medium),500 (Medium),31,14266,14152
AR KaiEXT MD (Regular),AR KaiEXT MD,Regular,AR KaiEXT,Medium,Version 1.20,ARPH,Regular,5 (Medium),500 (Medium),5,2658,2660
AR KanTingLiuB5 UL (Regular),AR KanTingLiuB5 UL,Regular,AR KanTingLiuB5,Black,Version 1.00,ARPH,Regular,5 (Medium),900 (Black),31,14266,14148
AR KongDieYuanB5 UL (Regular),AR KongDieYuanB5 UL,Regular,AR KongDieYuanB5,Black,Version 1.00,ARPH,Regular,5 (Medium),900 (Black),31,14266,14148
AR LiShuB5 BD (Regular),AR LiShuB5 BD,Regular,AR LiShuB5,Bold,Version 1.00,ARPH,Regular,5 (Medium),700 (Bold),31,14266,14148
AR LiShuB5 DB (Regular),AR LiShuB5 DB,Regular,AR LiShuB5,Demi-bold,Version 1.00,ARPH,Regular,5 (Medium),600 (Semi-bold),31,14266,14148
AR LiShuB5 MD (Regular),AR LiShuB5 MD,Regular,AR LiShuB5,Medium,Version 1.10,ARPH,Regular,5 (Medium),500 (Medium),31,14266,13992
AR LiShuB5HK MD (Regular),AR LiShuB5HK MD,Regular,AR LiShuB5HK,Medium,Version 1.00,ARPH,Regular,5 (Medium),500 (Medium),42,20645,18638
AR LiShuB5S MD (Regular),AR LiShuB5S MD,Regular,AR LiShuB5S,Medium,Version 1.00,ARPH,Regular,5 (Medium),500 (Medium),31,14266,14152
AR LiShuU30 MD (Regular),AR LiShuU30 MD,Regular,AR LiShuU30,Medium,Version 1.00,ARPH,Regular,5 (Medium),500 (Medium),42,30267,29921
AR MaoKaiB5 BD (Regular),AR MaoKaiB5 BD,Regular,AR MaoKaiB5,Bold,Version 1.00,ARPH,Regular,5 (Medium),700 (Bold),31,14266,14148
AR MaoKaiB5 EB (Regular),AR MaoKaiB5 EB,Regular,AR MaoKaiB5,Extra-bold,Version 1.00,ARPH,Regular,5 (Medium),800 (Extra-bold),31,14266,14148
AR MaoKaiB5 HV (Regular),AR MaoKaiB5 HV,Regular,AR MaoKaiB5,Heavy,Version 1.00,ARPH,Regular,5 (Medium),900 (Black),31,14266,14148
AR MingB5 BD (Regular),AR MingB5 BD,Regular,AR MingB5,Bold,Version 1.10,ARPH,Regular,5 (Medium),700 (Bold),32,14282,13986
AR MingB5 EB (Regular),AR MingB5 EB,Regular,AR MingB5,Extra-bold,Version 1.00,ARPH,Regular,5 (Medium),800 (Extra-bold),31,14266,14148
AR MingB5 HV (Regular),AR MingB5 HV,Regular,AR MingB5,Heavy,Version 1.00,ARPH,Regular,5 (Medium),900 (Black),31,14266,14148
AR MingB5 LT (Regular),AR MingB5 LT,Regular,AR MingB5,Light,Version 1.00,ARPH,Regular,5 (Medium),300 (Light),31,14266,14148
AR MingB5 MD (Regular),AR MingB5 MD,Regular,AR MingB5,Medium,Version 1.00,ARPH,Regular,5 (Medium),500 (Medium),31,14266,14148
AR MingB5 UL (Regular),AR MingB5 UL,Regular,AR MingB5,Black,Version 1.00,ARPH,Regular,5 (Medium),900 (Black),31,14266,14148
AR MingB5HK LT (Regular),AR MingB5HK LT,Regular,AR MingB5HK,Light,Version 1.00,ARPH,Regular,5 (Medium),300 (Light),42,20645,18638
AR MingB5S BD (Regular),AR MingB5S BD,Regular,AR MingB5S,Bold,Version 1.00,ARPH,Regular,5 (Medium),700 (Bold),31,14266,14152
AR MingB5S HV (Regular),AR MingB5S HV,Regular,AR MingB5S,Heavy,Version 1.00,ARPH,Regular,5 (Medium),900 (Black),31,14266,14152
AR MingB5S MD (Regular),AR MingB5S MD,Regular,AR MingB5S,Medium,Version 1.00,ARPH,Regular,5 (Medium),500 (Medium),31,14266,14152
AR MingEXT MD (Regular),AR MingEXT MD,Regular,AR MingEXT,Medium,Version 1.20,ARPH,Regular,5 (Medium),500 (Medium),5,2658,2660
AR MingU30 DB (Regular),AR MingU30 DB,Regular,AR MingU30,Demi-bold,Version 1.00,ARPH,Regular,5 (Medium),600 (Semi-bold),42,30267,29921
AR MingU30 LT (Regular),AR MingU30 LT,Regular,AR MingU30,Light,Version 1.00,ARPH,Regular,5 (Medium),300 (Light),42,30267,29921
AR MyungjoKR MD (Regular),AR MyungjoKR MD,Regular,AR MyungjoKR,Medium,Version 2.80,ARPH,Regular,5 (Medium),500 (Medium),29,8324,8326
AR New Hebe Sans (Regular),AR New Hebe Sans,Regular,,,Version 1.00,ARPH,,5 (Medium),400 (Normal),24,692,693
AR New Hebe Sans Black (Regular),AR New Hebe Sans Black,Regular,,,Version 1.00,ARPH,,5 (Medium),900 (Black),24,692,693
AR New Hebe Sans Bold (Regular),AR New Hebe Sans Bold,Regular,,,Version 1.00,ARPH,,5 (Medium),700 (Bold),24,692,693
AR New Hebe Sans Demibold (Regular),AR New Hebe Sans Demibold,Regular,,,Version 1.00,ARPH,,5 (Medium),600 (Semi-bold),24,692,693
AR New Hebe Sans Extrabold (Regular),AR New Hebe Sans Extrabold,Regular,,,Version 1.00,ARPH,,5 (Medium),800 (Extra-bold),24,692,693
AR New Hebe Sans Extraheavy (Regular),AR New Hebe Sans Extraheavy,Regular,,,Version 1.00,ARPH,,5 (Medium),900 (Black),24,692,693
AR New Hebe Sans Heavy (Regular),AR New Hebe Sans Heavy,Regular,,,Version 1.00,ARPH,,5 (Medium),900 (Black),24,692,693
AR New Hebe Sans Light (Regular),AR New Hebe Sans Light,Regular,,,Version 1.00,ARPH,,5 (Medium),300 (Light),24,692,693
AR New Hebe Sans Ultra (Regular),AR New Hebe Sans Ultra,Regular,,,Version 1.00,ARPH,,5 (Medium),900 (Black),24,692,693
AR NewHebeSansHe (Regular),AR NewHebeSansHe,Regular,AR NewHebeSansHe,Regular,Version 2.00,ARPH,Regular,5 (Medium),400 (Normal),10,322,324
AR NewHebeSansHe BD (Regular),AR NewHebeSansHe BD,Regular,AR NewHebeSansHe,Bold,Version 2.00,ARPH,Regular,5 (Medium),700 (Bold),10,322,324
AR NewHebeSansHe DB (Regular),AR NewHebeSansHe DB,Regular,AR NewHebeSansHe,Demi-bold,Version 2.00,ARPH,Regular,5 (Medium),600 (Semi-bold),10,322,324
AR NewHebeSansHe EB (Regular),AR NewHebeSansHe EB,Regular,AR NewHebeSansHe,Extra-bold,Version 2.00,ARPH,Regular,5 (Medium),800 (Extra-bold),10,322,324
AR NewHebeSansHe HV (Regular),AR NewHebeSansHe HV,Regular,AR NewHebeSansHe,Heavy,Version 2.00,ARPH,Regular,5 (Medium),900 (Black),10,322,324
AR NewHebeSansTh (Regular),AR NewHebeSansTh,Regular,AR NewHebeSansTh,Regular,Version 2.00,ARPH,Regular,5 (Medium),400 (Normal),7,355,352
AR NewHebeSansTh BD (Regular),AR NewHebeSansTh BD,Regular,AR NewHebeSansTh,Bold,Version 2.00,ARPH,Regular,5 (Medium),700 (Bold),7,355,352
AR NewHebeSansTh DB (Regular),AR NewHebeSansTh DB,Regular,AR NewHebeSansTh,Demi-bold,Version 2.00,ARPH,Regular,5 (Medium),600 (Semi-bold),7,355,352
AR NewHebeSansTh EB (Regular),AR NewHebeSansTh EB,Regular,AR NewHebeSansTh,Extra-bold,Version 2.00,ARPH,Regular,5 (Medium),800 (Extra-bold),7,355,352
AR NewHebeSansTh HV (Regular),AR NewHebeSansTh HV,Regular,AR NewHebeSansTh,Heavy,Version 2.00,ARPH,Regular,5 (Medium),900 (Black),7,355,352
